step,agent_y,agent_x,agent_load,rew,action,put/take
276,1,0,3,-1.0,3,walk
277,2,0,0,21.5,3,put
278,2,0,0,0.0,0,stay
279,2,0,0,0.0,0,stay
280,2,0,0,0.0,0,stay
281,2,0,0,0.0,0,stay
282,2,0,0,0.0,0,stay
283,2,0,0,0.0,0,stay
284,2,1,0,-1.0,2,walk
285,2,2,0,-1.0,2,walk
286,1,2,0,-1.0,1,walk
287,1,3,0,-1.0,2,walk
288,0,3,1,6.5,1,take
289,0,3,1,0.0,0,stay
290,0,3,1,0.0,0,stay
291,0,3,1,0.0,0,stay
292,0,3,1,0.0,0,stay
293,0,4,1,-1.0,2,walk
294,1,4,1,-1.0,3,walk
295,2,4,2,6.5,3,take
296,2,3,2,-1.0,4,walk
297,2,2,3,6.5,4,take
298,2,1,3,-1.0,4,walk
299,2,0,0,21.5,4,put
300,2,1,0,-1.0,2,walk
301,3,1,1,6.5,3,take
302,3,2,1,-1.0,2,walk
303,3,3,2,6.5,2,take
304,3,2,2,-1.0,4,walk
305,2,2,2,-1.0,1,walk
306,1,2,3,6.5,1,take
307,1,1,3,-1.0,4,walk
308,1,0,3,-1.0,4,walk
309,2,0,0,21.5,3,put
310,2,1,0,-1.0,2,walk
311,2,2,0,-1.0,2,walk
312,2,3,0,-1.0,2,walk
313,1,3,1,6.5,1,take
314,1,4,1,-1.0,2,walk
315,2,4,2,6.5,3,take
316,3,4,2,-1.0,3,walk
317,4,4,2,-1.0,3,walk
318,4,3,2,-1.0,4,walk
319,4,2,2,-1.0,4,walk
320,4,1,3,6.5,4,take
321,4,0,3,-1.0,4,walk
322,3,0,3,-1.0,1,walk
323,2,0,0,21.5,1,put
324,2,1,0,-1.0,2,walk
325,3,1,1,6.5,3,take
326,2,1,1,-1.0,1,walk
327,1,1,1,-1.0,1,walk
328,1,2,1,-1.0,2,walk
329,0,2,2,6.5,1,take
330,0,3,2,-1.0,2,walk
331,0,4,2,-1.0,2,walk
332,1,4,2,-1.0,3,walk
333,2,4,3,6.5,3,take
334,2,3,3,-1.0,4,walk
335,2,2,3,-1.0,4,walk
336,2,1,3,-1.0,4,walk
337,2,0,0,21.5,4,put
338,2,1,0,-1.0,2,walk
339,2,2,0,-1.0,2,walk
340,1,2,1,6.5,1,take
341,1,2,1,0.0,0,stay
342,1,2,1,0.0,0,stay
343,1,2,1,0.0,0,stay
344,1,2,1,0.0,0,stay
345,1,3,1,-1.0,2,walk
346,1,4,2,6.5,2,take
347,1,3,2,-1.0,4,walk
348,1,2,2,-1.0,4,walk
349,1,1,2,-1.0,4,walk
350,0,1,3,6.5,1,take
351,0,0,3,-1.0,4,walk
352,1,0,3,-1.0,3,walk
353,2,0,0,21.5,3,put
354,2,1,0,-1.0,2,walk
355,2,2,0,-1.0,2,walk
356,3,2,1,6.5,3,take
357,3,2,1,0.0,0,stay
358,3,2,1,0.0,0,stay
359,3,2,1,0.0,0,stay
360,2,2,1,-1.0,1,walk
361,1,2,2,6.5,1,take
362,1,2,2,0.0,0,stay
363,1,2,2,0.0,0,stay
364,1,2,2,0.0,0,stay
365,2,2,2,-1.0,3,walk
366,3,2,2,-1.0,3,walk
367,4,2,3,6.5,3,take
368,4,1,3,-1.0,4,walk
369,4,0,3,-1.0,4,walk
370,3,0,3,-1.0,1,walk
371,2,0,0,21.5,1,put
372,2,1,0,-1.0,2,walk
373,2,2,0,-1.0,2,walk
374,1,2,0,-1.0,1,walk
375,1,3,0,-1.0,2,walk
376,1,2,1,6.5,4,take
377,1,3,1,-1.0,2,walk
378,0,3,2,6.5,1,take
379,0,3,2,0.0,0,stay
380,0,3,2,0.0,0,stay
381,0,3,2,0.0,0,stay
382,0,3,2,0.0,0,stay
383,0,3,2,0.0,0,stay
384,0,3,2,0.0,0,stay
385,0,4,3,6.5,2,take
386,1,4,3,-1.0,3,walk
387,2,4,3,-1.0,3,walk
388,2,3,3,-1.0,4,walk
389,2,2,3,-1.0,4,walk
390,2,1,3,-1.0,4,walk
391,2,0,0,21.5,4,put
392,2,1,0,-1.0,2,walk
393,2,2,0,-1.0,2,walk
394,2,3,0,-1.0,2,walk
395,2,4,1,6.5,2,take
396,3,4,2,6.5,3,take
397,4,4,3,6.5,3,take
398,3,4,3,-1.0,1,walk
399,3,3,3,-1.0,4,walk
400,2,0,0,0.0,0,stay
401,2,0,0,0.0,0,stay
402,2,0,0,0.0,0,stay
403,2,0,0,0.0,0,stay
404,2,1,0,-1.0,2,walk
405,2,2,0,-1.0,2,walk
406,1,2,1,6.5,1,take
